City,Time,O3,PM2.5,PM10,CO,SO2,NO2,Temp,RHum,WSpd,O3_P1,O3_P4,O3_P8,O3_P24,PM2.5_P1,PM2.5_P4,PM2.5_P8,PM2.5_P24
Bangkok,2021-04-29 20:00:00+00:00,0.007,18.0,32.0,0.15,0.003,0.009,26.1,90.0,0.0,0.006,0.004,0.004,0.022,18.0,19.0,18.0,17.333333333333332
Bangkok,2021-04-29 21:00:00+00:00,0.006,18.0,32.0,0.12,0.003,0.009,26.4,92.0,3.6,0.005,0.003,0.005,0.019333333333333334,18.0,19.0,18.0,17.22222222222222
Bangkok,2021-04-29 22:00:00+00:00,0.005,18.0,32.0,0.1,0.003,0.009,26.0,95.0,1.8,0.004,0.003,0.0075,0.016666666666666666,19.0,19.0,17.5,17.11111111111111
Bangkok,2021-04-29 23:00:00+00:00,0.004,19.0,32.0,0.14,0.003,0.013,25.9,95.0,1.8,0.004,0.0035,0.01,0.014,19.0,18.5,17.0,17.0
Bangkok,2021-04-30 00:00:00+00:00,0.004,19.0,34.0,0.18,0.003,0.007,26.5,89.0,0.0,0.003,0.004,0.016,0.014,19.0,18.0,17.0,17.0
Bangkok,2021-04-30 01:00:00+00:00,0.003,19.0,34.0,0.2,0.0045000000000000005,0.007,26.9,89.0,0.0,0.003,0.005,0.02,0.0125,19.0,18.0,17.0,17.0
Bangkok,2021-04-30 02:00:00+00:00,0.003,19.0,34.0,0.25,0.006,0.007,27.9,84.0,0.0,0.0035,0.0075,0.024,0.011,18.5,17.5,17.0,17.0
Bangkok,2021-04-30 03:00:00+00:00,0.0035,18.5,33.0,0.29000000000000004,0.005,0.0075,27.7,86.0,3.6,0.004,0.01,0.03,0.010499999999999999,18.0,17.0,18.0,17.0
Bangkok,2021-04-30 04:00:00+00:00,0.004,18.0,32.0,0.33,0.004,0.008,28.6,81.0,3.7,0.005,0.016,0.034,0.01,18.0,17.0,18.0,17.0
Bangkok,2021-04-30 05:00:00+00:00,0.005,18.0,32.0,0.37,0.003,0.014,29.5,76.0,3.7,0.0075,0.02,0.036,0.011,17.5,17.0,18.0,17.0
Bangkok,2021-04-30 06:00:00+00:00,0.0075,17.5,32.0,0.355,0.003,0.01,30.0,78.0,3.6,0.01,0.024,0.038,0.013,17.0,17.0,18.0,17.0
Bangkok,2021-04-30 07:00:00+00:00,0.01,17.0,32.0,0.34,0.003,0.006,30.3,73.0,1.8,0.016,0.03,0.035333333333333335,0.018000000000000002,17.0,18.0,17.88888888888889,17.333333333333332
Bangkok,2021-04-30 08:00:00+00:00,0.016,17.0,32.0,0.31,0.003,0.01,30.2,73.0,1.8,0.02,0.034,0.03266666666666666,0.023,17.0,18.0,17.77777777777778,17.666666666666668
Bangkok,2021-04-30 09:00:00+00:00,0.02,17.0,32.0,0.29,0.003,0.01,29.9,69.0,0.0,0.024,0.036,0.03,0.028,17.0,18.0,17.666666666666668,18.0
Bangkok,2021-04-30 10:00:00+00:00,0.024,17.0,32.0,0.28,0.004,0.03,29.4,77.0,1.8,0.03,0.038,0.027333333333333334,0.03,18.0,18.0,17.555555555555557,18.0
Bangkok,2021-04-30 11:00:00+00:00,0.03,18.0,33.0,0.27,0.003,0.021,28.9,79.0,1.8,0.034,0.035333333333333335,0.024666666666666667,0.033,18.0,17.88888888888889,17.444444444444443,18.0
Bangkok,2021-04-30 12:00:00+00:00,0.034,18.0,34.0,0.27,0.003,0.016,30.1,73.0,0.0,0.036,0.03266666666666666,0.022,0.034,18.0,17.77777777777778,17.333333333333332,17.0
Bangkok,2021-04-30 13:00:00+00:00,0.036,18.0,34.0,0.24,0.003,0.011,28.1,82.0,1.8,0.038,0.03,0.019333333333333334,0.035,18.0,17.666666666666668,17.22222222222222,17.0
Bangkok,2021-04-30 14:00:00+00:00,0.038,18.0,34.0,0.22,0.003,0.009,27.8,83.0,0.0,0.035333333333333335,0.027333333333333334,0.016666666666666666,0.0335,17.88888888888889,17.555555555555557,17.11111111111111,17.214285714285715
Bangkok,2021-04-30 22:00:00+00:00,0.035333333333333335,17.88888888888889,33.888888888888886,0.20444444444444446,0.003,0.008666666666666666,25.6,95.0,0.0,0.03266666666666666,0.024666666666666667,0.014,0.032,17.77777777777778,17.444444444444443,17.0,17.42857142857143
Bangkok,2021-04-30 21:00:00+00:00,0.03266666666666666,17.77777777777778,33.77777777777778,0.18888888888888888,0.003,0.008333333333333333,25.5,96.0,0.0,0.03,0.022,0.014,0.030500000000000006,17.666666666666668,17.333333333333332,17.0,17.642857142857142
Bangkok,2021-04-30 20:00:00+00:00,0.03,17.666666666666668,33.666666666666664,0.17333333333333334,0.003,0.008,26.9,87.0,0.0,0.027333333333333334,0.019333333333333334,0.0125,0.029000000000000005,17.555555555555557,17.22222222222222,17.0,17.857142857142858
Bangkok,2021-04-30 19:00:00+00:00,0.027333333333333334,17.555555555555557,33.55555555555556,0.1577777777777778,0.003,0.007666666666666666,27.2,86.0,0.0,0.024666666666666667,0.016666666666666666,0.011,0.027500000000000004,17.444444444444443,17.11111111111111,17.0,18.071428571428573
Bangkok,2021-04-30 18:00:00+00:00,0.024666666666666667,17.444444444444443,33.44444444444444,0.14222222222222222,0.003,0.007333333333333333,27.0,92.0,0.0,0.022,0.014,0.010499999999999999,0.026000000000000002,17.333333333333332,17.0,17.0,18.285714285714285
Bangkok,2021-04-30 17:00:00+00:00,0.022,17.333333333333332,33.333333333333336,0.12666666666666668,0.003,0.007,27.9,84.0,0.0,0.019333333333333334,0.014,0.01,0.0245,17.22222222222222,17.0,17.0,18.5
Bangkok,2021-04-30 16:00:00+00:00,0.019333333333333334,17.22222222222222,33.22222222222222,0.11111111111111112,0.003,0.006666666666666666,28.3,82.0,0.0,0.016666666666666666,0.0125,0.011,0.023,17.11111111111111,17.0,17.0,18.714285714285715
Bangkok,2021-04-30 15:00:00+00:00,0.016666666666666666,17.11111111111111,33.111111111111114,0.09555555555555556,0.003,0.006333333333333333,28.7,81.0,0.0,0.014,0.011,0.013,0.021500000000000002,17.0,17.0,17.0,18.928571428571427
Bangkok,2021-04-30 23:00:00+00:00,0.014,17.0,33.0,0.08,0.003,0.006,25.6,96.0,0.0,0.014,0.010499999999999999,0.018000000000000002,0.02,17.0,17.0,17.333333333333332,19.142857142857142
Bangkok,2021-05-01 00:00:00+00:00,0.014,17.0,31.0,0.07,0.003,0.010666666666666666,24.6,97.0,0.0,0.0125,0.01,0.023,0.018500000000000003,17.0,17.0,17.666666666666668,19.357142857142858
Bangkok,2021-05-01 01:00:00+00:00,0.0125,17.0,30.5,0.16,0.003,0.015333333333333334,26.7,90.0,0.0,0.011,0.011,0.028,0.017,17.0,17.0,18.0,19.571428571428573
Bangkok,2021-05-01 02:00:00+00:00,0.011,17.0,30.0,0.25,0.003,0.02,27.8,85.0,0.0,0.010499999999999999,0.013,0.03,0.0155,17.0,17.0,18.0,19.785714285714285
Bangkok,2021-05-01 03:00:00+00:00,0.010499999999999999,17.0,29.5,0.32,0.003,0.0175,26.0,95.0,1.8,0.01,0.018000000000000002,0.033,0.014,17.0,17.333333333333332,18.0,20.0
Bangkok,2021-05-01 04:00:00+00:00,0.01,17.0,29.0,0.39,0.003,0.015,27.3,87.0,1.8,0.011,0.023,0.034,0.016,17.0,17.666666666666668,17.0,21.0
Bangkok,2021-05-01 05:00:00+00:00,0.011,17.0,30.0,0.45,0.003,0.016,28.7,80.0,1.8,0.013,0.028,0.035,0.022,17.0,18.0,17.0,21.0
Bangkok,2021-05-01 06:00:00+00:00,0.013,17.0,30.0,0.47,0.003,0.013,29.2,78.0,0.0,0.018000000000000002,0.03,0.0335,0.029,17.333333333333332,18.0,17.214285714285715,21.0
Bangkok,2021-05-01 08:00:00+00:00,0.018000000000000002,17.333333333333332,30.0,0.4433333333333333,0.003,0.010666666666666666,30.2,71.0,1.8,0.023,0.033,0.032,0.032,17.666666666666668,18.0,17.42857142857143,21.0
Bangkok,2021-05-01 07:00:00+00:00,0.023,17.666666666666668,30.0,0.4166666666666667,0.003,0.008333333333333333,30.1,72.0,1.8,0.028,0.034,0.030500000000000006,0.037,18.0,17.0,17.642857142857142,21.0
Bangkok,2021-05-01 09:00:00+00:00,0.028,18.0,30.0,0.39,0.003,0.006,32.4,64.0,0.0,0.03,0.035,0.029000000000000005,0.041,18.0,17.0,17.857142857142858,21.0
Bangkok,2021-05-01 10:00:00+00:00,0.03,18.0,30.0,0.3,0.003,0.011,29.7,73.0,1.8,0.033,0.0335,0.027500000000000004,0.039,18.0,17.214285714285715,18.071428571428573,21.0
Bangkok,2021-05-01 11:00:00+00:00,0.033,18.0,29.0,0.25,0.002,0.01,29.2,76.0,1.8,0.034,0.032,0.026000000000000002,0.037000000000000005,17.0,17.42857142857143,18.285714285714285,21.0
Bangkok,2021-05-01 12:00:00+00:00,0.034,17.0,28.0,0.2,0.003,0.006,30.4,68.0,0.0,0.035,0.030500000000000006,0.0245,0.035,17.0,17.642857142857142,18.5,21.0
Bangkok,2021-05-01 13:00:00+00:00,0.035,17.0,28.0,0.17,0.003,0.006,28.3,80.0,0.0,0.0335,0.029000000000000005,0.023,0.033,17.214285714285715,17.857142857142858,18.714285714285715,21.0
Bangkok,2021-05-02 02:00:00+00:00,0.0335,17.214285714285715,28.214285714285715,0.18285714285714286,0.003,0.006357142857142857,29.0,79.0,1.8,0.032,0.027500000000000004,0.021500000000000002,0.031,17.42857142857143,18.071428571428573,18.928571428571427,21.0
Bangkok,2021-05-02 01:00:00+00:00,0.032,17.42857142857143,28.42857142857143,0.19571428571428573,0.003,0.006714285714285714,28.0,83.0,1.8,0.030500000000000006,0.026000000000000002,0.02,0.029,17.642857142857142,18.285714285714285,19.142857142857142,21.0
Bangkok,2021-05-02 00:00:00+00:00,0.030500000000000006,17.642857142857142,28.642857142857142,0.20857142857142857,0.003,0.007071428571428571,27.3,92.0,0.0,0.029000000000000005,0.0245,0.018500000000000003,0.024,17.857142857142858,18.5,19.357142857142858,21.0
Bangkok,2021-05-01 23:00:00+00:00,0.029000000000000005,17.857142857142858,28.857142857142858,0.22142857142857142,0.003,0.0074285714285714285,27.1,87.0,0.0,0.027500000000000004,0.023,0.017,0.02,18.071428571428573,18.714285714285715,19.571428571428573,22.0
Bangkok,2021-05-01 22:00:00+00:00,0.027500000000000004,18.071428571428573,29.071428571428573,0.23428571428571426,0.003,0.007785714285714286,27.1,86.0,0.0,0.026000000000000002,0.021500000000000002,0.0155,0.016,18.285714285714285,18.928571428571427,19.785714285714285,22.0
Bangkok,2021-05-01 21:00:00+00:00,0.026000000000000002,18.285714285714285,29.285714285714285,0.24714285714285714,0.003,0.008142857142857143,27.2,89.0,0.0,0.0245,0.02,0.014,0.013,18.5,19.142857142857142,20.0,22.0
Bangkok,2021-05-01 20:00:00+00:00,0.0245,18.5,29.5,0.26,0.003,0.0085,26.7,89.0,0.0,0.023,0.018500000000000003,0.016,0.011,18.714285714285715,19.357142857142858,21.0,22.0
Bangkok,2021-05-01 19:00:00+00:00,0.023,18.714285714285715,29.714285714285715,0.27285714285714285,0.003,0.008857142857142857,27.1,88.0,0.0,0.021500000000000002,0.017,0.022,0.009,18.928571428571427,19.571428571428573,21.0,22.0
Bangkok,2021-05-01 18:00:00+00:00,0.021500000000000002,18.928571428571427,29.928571428571427,0.2857142857142857,0.003,0.009214285714285713,27.8,87.0,0.0,0.02,0.0155,0.029,0.008,19.142857142857142,19.785714285714285,21.0,22.0
Bangkok,2021-05-01 17:00:00+00:00,0.02,19.142857142857142,30.142857142857142,0.29857142857142854,0.003,0.009571428571428571,27.9,85.0,0.0,0.018500000000000003,0.014,0.032,0.008,19.357142857142858,20.0,21.0,22.0
Bangkok,2021-05-01 16:00:00+00:00,0.018500000000000003,19.357142857142858,30.357142857142858,0.3114285714285714,0.003,0.009928571428571429,28.3,84.0,0.0,0.017,0.016,0.037,0.007,19.571428571428573,21.0,21.0,22.0
Bangkok,2021-05-01 15:00:00+00:00,0.017,19.571428571428573,30.571428571428573,0.3242857142857143,0.003,0.010285714285714285,28.6,83.0,0.0,0.0155,0.022,0.041,0.006,19.785714285714285,21.0,21.0,22.0
Bangkok,2021-05-01 14:00:00+00:00,0.0155,19.785714285714285,30.785714285714285,0.33714285714285713,0.003,0.010642857142857141,27.9,82.0,0.0,0.014,0.029,0.039,0.006,20.0,21.0,21.0,22.0
Bangkok,2021-05-02 03:00:00+00:00,0.014,20.0,31.0,0.35,0.003,0.011,31.0,78.0,1.8,0.016,0.032,0.037000000000000005,0.008,21.0,21.0,21.0,22.0
Bangkok,2021-05-02 04:00:00+00:00,0.016,21.0,32.0,0.36,0.003,0.009,31.5,75.0,1.8,0.022,0.037,0.035,0.012,21.0,21.0,21.0,22.0
Bangkok,2021-05-02 05:00:00+00:00,0.022,21.0,32.0,0.35,0.003,0.008,32.0,72.0,1.8,0.029,0.041,0.033,0.0175,21.0,21.0,21.0,22.0
Bangkok,2021-05-02 06:00:00+00:00,0.029,21.0,32.0,0.32,0.003,0.003,34.2,59.0,7.6,0.032,0.039,0.031,0.023,21.0,21.0,21.0,22.0
Bangkok,2021-05-02 07:00:00+00:00,0.032,21.0,32.0,0.28,0.003,0.0,32.2,69.0,1.8,0.037,0.037000000000000005,0.029,0.025666666666666667,21.0,21.0,21.0,22.333333333333332
Bangkok,2021-05-02 08:00:00+00:00,0.037,21.0,32.0,0.22,0.003,0.001,31.9,69.0,3.7,0.041,0.035,0.024,0.028333333333333335,21.0,21.0,21.0,22.666666666666668
Bangkok,2021-05-02 09:00:00+00:00,0.041,21.0,31.0,0.15,0.003,0.003,34.1,56.0,7.6,0.039,0.033,0.02,0.031,21.0,21.0,22.0,23.0
Bangkok,2021-05-02 14:00:00+00:00,0.039,21.0,31.333333333333332,0.16166666666666668,0.003,0.005999999999999998,29.3,77.0,0.0,0.037000000000000005,0.031,0.016,0.033666666666666664,21.0,21.0,22.0,23.333333333333332
Bangkok,2021-05-02 13:00:00+00:00,0.037000000000000005,21.0,31.666666666666668,0.17333333333333334,0.003,0.009,29.7,76.0,0.0,0.035,0.029,0.013,0.036333333333333336,21.0,21.0,22.0,23.666666666666668
Bangkok,2021-05-02 12:00:00+00:00,0.035,21.0,32.0,0.185,0.003,0.012,29.1,77.0,0.0,0.033,0.024,0.011,0.039,21.0,21.0,22.0,24.0
Bangkok,2021-05-02 11:00:00+00:00,0.033,21.0,32.333333333333336,0.19666666666666666,0.003,0.015,31.0,70.0,1.8,0.031,0.02,0.009,0.034,21.0,22.0,22.0,25.0
Bangkok,2021-05-02 10:00:00+00:00,0.031,21.0,32.666666666666664,0.20833333333333334,0.003,0.018000000000000002,32.1,65.0,3.7,0.029,0.016,0.008,0.027,21.0,22.0,22.0,25.0
Bangkok,2021-05-02 15:00:00+00:00,0.029,21.0,33.0,0.22,0.003,0.021,28.5,78.0,0.0,0.024,0.013,0.008,0.019,21.0,22.0,22.0,26.0
Bangkok,2021-05-02 16:00:00+00:00,0.024,21.0,34.0,0.24,0.003,0.018,28.3,79.0,0.0,0.02,0.011,0.007,0.015,22.0,22.0,22.0,27.0
Bangkok,2021-05-02 17:00:00+00:00,0.02,22.0,35.0,0.26,0.003,0.017,28.0,81.0,0.0,0.016,0.009,0.006,0.013,22.0,22.0,22.0,27.0
Bangkok,2021-05-02 18:00:00+00:00,0.016,22.0,35.0,0.25,0.003,0.011,27.5,88.0,0.0,0.013,0.008,0.006,0.014,22.0,22.0,22.0,27.0
Bangkok,2021-05-02 19:00:00+00:00,0.013,22.0,35.0,0.24,0.003,0.009,27.6,84.0,0.0,0.011,0.008,0.008,0.013,22.0,22.0,22.0,27.0
Bangkok,2021-05-02 20:00:00+00:00,0.011,22.0,35.0,0.21,0.003,0.013,27.4,85.0,0.0,0.009,0.007,0.012,0.013,22.0,22.0,22.0,27.0
Bangkok,2021-05-02 21:00:00+00:00,0.009,22.0,36.0,0.2,0.003,0.013,27.2,83.0,0.0,0.008,0.006,0.0175,0.014,22.0,22.0,22.0,27.0
Bangkok,2021-05-02 22:00:00+00:00,0.008,22.0,35.0,0.17,0.0035,0.013999999999999999,26.9,92.0,0.0,0.008,0.006,0.023,0.015,22.0,22.0,22.0,27.0
Bangkok,2021-05-02 23:00:00+00:00,0.008,22.0,36.0,0.17,0.004,0.015,26.9,91.0,0.0,0.007,0.008,0.025666666666666667,0.016,22.0,22.0,22.333333333333332,27.0
Bangkok,2021-05-03 00:00:00+00:00,0.007,22.0,36.0,0.19,0.003,0.013,27.0,90.0,0.0,0.006,0.012,0.028333333333333335,0.016526315789473688,22.0,22.0,22.666666666666668,26.842105263157894
Bangkok,2021-05-03 01:00:00+00:00,0.006,22.0,36.0,0.24,0.003,0.012,28.4,83.0,0.0,0.006,0.0175,0.031,0.017052631578947368,22.0,22.0,23.0,26.684210526315788
Bangkok,2021-05-03 02:00:00+00:00,0.006,22.0,37.0,0.3,0.003,0.019,29.9,77.0,1.8,0.008,0.023,0.033666666666666664,0.017578947368421055,22.0,22.0,23.333333333333332,26.526315789473685
Bangkok,2021-05-03 03:00:00+00:00,0.008,22.0,37.0,0.33,0.003,0.012,32.0,65.0,7.6,0.012,0.025666666666666667,0.036333333333333336,0.018105263157894735,22.0,22.333333333333332,23.666666666666668,26.36842105263158
Bangkok,2021-05-03 04:00:00+00:00,0.012,22.0,37.0,0.35,0.003,0.006,32.6,63.0,5.5,0.0175,0.028333333333333335,0.039,0.018631578947368423,22.0,22.666666666666668,24.0,26.210526315789473
Bangkok,2021-05-03 05:00:00+00:00,0.0175,22.0,37.5,0.36,0.003,0.01,33.1,61.0,5.5,0.023,0.031,0.034,0.019157894736842106,22.0,23.0,25.0,26.05263157894737
