City,Time,O3,PM2.5,PM10,CO,SO2,NO2,NH3,Temp,RHum,WSpd,O3_P1,O3_P4,O3_P8,O3_P24,PM2.5_P1,PM2.5_P4,PM2.5_P8,PM2.5_P24
Bangkok,2021-01-01 00:00:00,120.16,121.15,121.15,2349.85,66.76,77.46,36.99,19.5,66.0,0.0,178.81,153.07,0.0,200.27,128.42,89.17,134.23,145.77
Bangkok,2021-01-01 01:00:00,178.81,128.42,128.42,2002.72,55.31,55.52,30.4,21.1,63.0,1.8,214.58,43.63,0.0,251.77,130.18,96.18,114.04,150.18
Bangkok,2021-01-01 02:00:00,214.58,130.18,130.18,1789.09,49.59,47.3,26.85,22.1,60.0,1.8,185.97,0.81,0.0,254.63,110.2,118.73,94.73,133.1
Bangkok,2021-01-01 03:00:00,185.97,110.2,110.2,1708.98,47.21,49.35,26.09,23.8,58.0,0.0,153.07,0.0,0.0,228.88,89.17,137.94,83.5,111.56
Bangkok,2021-01-01 04:00:00,153.07,89.17,89.17,1588.82,41.96,49.35,24.07,24.7,55.0,1.8,43.63,0.0,0.0,197.41,96.18,134.23,82.11,89.84
Bangkok,2021-01-01 05:00:00,43.63,96.18,96.18,3685.0,49.11,106.93,27.11,25.6,52.0,3.7,0.81,0.0,0.0,133.04,118.73,114.04,76.58,87.02
Bangkok,2021-01-01 06:00:00,0.81,118.73,118.73,6942.75,60.56,109.67,33.44,26.6,53.0,3.6,0.0,0.0,0.01,45.42,137.94,94.73,74.42,90.16
Bangkok,2021-01-01 07:00:00,0.0,137.94,137.94,8224.49,64.85,94.59,40.03,27.0,49.0,3.7,0.0,0.0,0.03,2.77,134.23,83.5,73.49,88.76
Bangkok,2021-01-01 08:00:00,0.0,134.23,134.23,6942.75,56.74,85.0,40.53,27.4,48.0,3.7,0.0,0.0,0.04,0.06,114.04,82.11,72.63,85.09
Bangkok,2021-01-01 09:00:00,0.0,114.04,114.04,4859.92,47.21,71.97,36.48,28.5,42.0,0.0,0.0,0.0,0.04,0.02,94.73,76.58,71.76,79.77
Bangkok,2021-01-01 10:00:00,0.0,94.73,94.73,3391.27,41.49,65.12,32.93,26.7,53.0,1.8,0.0,0.01,0.01,0.02,83.5,74.42,74.3,76.58
Bangkok,2021-01-01 11:00:00,0.0,83.5,83.5,2723.69,39.1,61.69,30.4,25.8,55.0,1.8,0.0,0.03,0.0,0.0,82.11,73.49,85.93,97.12
Bangkok,2021-01-01 12:00:00,0.0,82.11,82.11,2777.1,37.67,61.01,28.88,25.9,53.0,3.6,0.0,0.04,0.62,0.0,76.58,72.63,97.88,113.57
