City,Time,O3,PM2.5,PM10,CO,SO2,NO2,Temp,RHum,WSpd,O3_P1,O3_P4,O3_P8,O3_P24,PM2.5_P1,PM2.5_P4,PM2.5_P8,PM2.5_P24
Denver,2021-04-01 16:00:00+00:00,0.036,7.7,35.7,0.37,0.0,0.017,8.9,25.0,7.6,0.045,0.061,0.055,0.033,6.7,4.9,5.3,6.9
Denver,2021-04-01 17:00:00+00:00,0.045,6.7,27.900000000000002,0.36,0.0,0.011,13.1,18.0,7.6,0.054,0.062,0.033,0.046,5.7,4.8,6.6,5.8
Denver,2021-04-01 18:00:00+00:00,0.054,5.7,20.1,0.35,0.0,0.005,15.6,11.0,11.2,0.059,0.062,0.015,0.057,5.2,5.0,8.1,4.7
Denver,2021-04-01 19:00:00+00:00,0.059,5.2,16.8,0.27999999999999997,0.0,0.003,17.1,9.0,13.0,0.061,0.062,0.03,0.0575,4.9,4.9,8.9,5.050000000000001
Denver,2021-04-01 20:00:00+00:00,0.061,4.9,17.3,0.21,0.0,0.003,19.0,9.0,13.0,0.062,0.055,0.029,0.058,4.8,5.3,8.1,5.4
Denver,2021-04-01 21:00:00+00:00,0.062,4.8,18.9,0.26,0.0,0.004,19.9,8.0,11.2,0.062,0.033,0.024,0.06,5.0,6.6,7.2,5.1
Denver,2021-04-01 22:00:00+00:00,0.062,5.0,19.0,0.5,0.0,0.006,21.2,7.0,9.4,0.062,0.015,0.028,0.062,4.9,8.1,6.5,5.3
Denver,2021-04-01 23:00:00+00:00,0.062,4.9,23.1,0.47,0.0,0.006,20.8,7.0,7.6,0.055,0.03,0.027,0.061,5.3,8.9,6.1,5.3
Denver,2021-04-02 00:00:00+00:00,0.055,5.3,26.7,0.43,0.0,0.012,20.6,9.0,11.2,0.033,0.029,0.0245,0.059,6.6,8.1,5.9,5.8
Denver,2021-04-02 01:00:00+00:00,0.033,6.6,37.3,0.48,0.0,0.03,16.8,16.0,13.0,0.015,0.024,0.022,0.038,8.1,7.2,5.7,6.5
Denver,2021-04-02 02:00:00+00:00,0.015,8.1,47.1,0.55,0.001,0.04,11.9,21.0,16.6,0.03,0.028,0.012,0.004,8.9,6.5,5.9,10.3
Denver,2021-04-02 03:00:00+00:00,0.03,8.9,43.5,0.42,0.0,0.024,8.6,32.0,22.3,0.029,0.027,0.010499999999999999,0.017,8.1,6.1,6.15,11.7
Denver,2021-04-02 04:00:00+00:00,0.029,8.1,36.9,0.38,0.0,0.021,11.0,22.0,29.5,0.024,0.0245,0.009,0.0165,7.2,5.9,6.4,10.3
Denver,2021-04-02 05:00:00+00:00,0.024,7.2,26.5,0.4,0.0,0.0195,9.5,26.0,22.3,0.028,0.022,0.0095,0.016,6.5,5.7,7.7,8.9
Denver,2021-04-02 06:00:00+00:00,0.028,6.5,19.4,0.32,0.0,0.018,7.9,30.0,18.4,0.027,0.012,0.01,0.01633333333333333,6.1,5.9,9.0,8.68888888888889
Denver,2021-04-02 07:00:00+00:00,0.027,6.1,21.0,0.29,0.0,0.017,6.4,34.0,13.0,0.0245,0.010499999999999999,0.026,0.016666666666666666,5.9,6.15,8.0,8.477777777777778
Denver,2021-04-02 08:00:00+00:00,0.0245,5.9,19.05,0.29,0.0,0.018000000000000002,6.2,34.0,16.6,0.022,0.009,0.033,0.017,5.7,6.4,6.9,8.266666666666667
Denver,2021-04-02 09:00:00+00:00,0.022,5.7,17.1,0.29,0.0,0.019,5.6,36.0,13.0,0.012,0.0095,0.046,0.017333333333333333,5.9,7.7,5.8,8.055555555555555
Denver,2021-04-02 10:00:00+00:00,0.012,5.9,18.7,0.32,0.0,0.029,5.3,36.0,16.6,0.010499999999999999,0.01,0.057,0.017666666666666667,6.15,9.0,4.7,7.844444444444445
Denver,2021-04-02 11:00:00+00:00,0.010499999999999999,6.15,22.2,0.39,0.0,0.032,6.7,31.0,13.0,0.009,0.026,0.0575,0.018,6.4,8.0,5.050000000000001,7.633333333333334
Denver,2021-04-02 12:00:00+00:00,0.009,6.4,25.7,0.46,0.0,0.035,8.1,25.0,18.4,0.0095,0.033,0.058,0.018333333333333333,7.7,6.9,5.4,7.4222222222222225
Denver,2021-04-02 13:00:00+00:00,0.0095,7.7,37.5,0.53,0.0005,0.036500000000000005,7.1,29.0,18.4,0.01,0.046,0.06,0.018666666666666665,9.0,5.8,5.1,7.211111111111111
Denver,2021-04-02 14:00:00+00:00,0.01,9.0,49.3,0.6,0.001,0.038,8.8,28.0,7.6,0.026,0.057,0.062,0.019,8.0,4.7,5.3,7.0
